date,gauge,imergl,lseqmdl
2010-01-01,0.2,9.5,3.0
2010-01-02,0.0,33.7,26.8
2010-01-03,73.4,49.9,46.2
2010-01-04,0.5,49.9,47.0
2010-01-05,25.1,80.9,84.8
2010-01-06,4.4,18.2,10.6
2010-01-07,0.0,16.1,8.7
2010-01-08,3.0,15.0,7.6
2010-01-09,4.2,12.4,5.4
2010-01-10,0.2,5.3,0.0
2010-01-11,109.9,32.2,28.2
2010-01-12,1.8,11.8,5.1
2010-01-13,28.0,41.9,33.0
2010-01-14,23.3,11.8,5.1
2010-01-16,28.1,33.6,27.4
2010-01-17,15.7,15.4,8.1
2010-01-18,9.5,9.9,3.6
2010-01-19,1.5,13.9,6.8
2010-01-20,0.3,8.0,2.1
2010-01-21,0.0,3.7,0.0
2010-01-22,4.6,20.1,13.7
2010-01-23,0.0,4.1,0.0
2010-01-24,15.3,19.4,13.1
2010-01-25,0.0,9.0,3.8
2010-01-26,46.1,38.3,37.9
2010-01-27,32.5,28.0,21.7
2010-01-28,8.9,40.6,39.8
2010-01-29,0.0,2.6,0.0
2010-01-30,16.1,8.6,3.4
2010-01-31,0.0,1.0,0.0
2010-02-01,0.0,1.9,0.0
2010-02-02,4.3,17.8,14.0
2010-02-04,11.6,3.5,0.0
2010-02-05,0.2,11.6,7.2
2010-02-06,21.6,49.7,64.5
2010-02-07,0.0,0.7,0.0
2010-02-08,0.0,2.5,0.0
2010-02-09,0.0,0.2,0.0
2010-02-10,34.6,15.0,10.8
2010-02-11,0.7,0.3,0.0
2010-02-12,26.4,25.4,22.6
2010-02-13,23.8,1.6,0.0
2010-02-14,0.0,2.5,0.0
2010-02-15,50.6,36.1,33.7
2010-02-16,0.0,12.4,7.3
2010-02-18,0.0,10.1,5.1
2010-02-19,95.6,53.3,61.2
2010-02-20,39.8,42.5,41.2
2010-02-21,0.0,9.0,3.5
2010-02-22,0.4,12.1,6.4
2010-02-23,13.2,40.6,47.0
2010-02-24,16.6,23.2,18.7
2010-02-25,0.0,2.5,0.0
2010-02-26,0.0,0.8,0.0
2010-02-27,0.3,0.5,0.0
2010-02-28,0.0,0.5,0.0
2010-03-01,0.5,25.9,16.5
2010-03-02,0.4,1.4,0.0
2010-03-03,0.0,25.4,14.3
2010-03-04,0.0,2.5,0.0
2010-03-05,19.0,24.3,17.0
2010-03-06,0.0,0.8,0.0
2010-03-07,0.0,3.5,0.0
2010-03-08,4.0,2.1,0.0
2010-03-10,0.0,12.9,3.9
2010-03-11,52.9,22.3,13.6
2010-03-12,0.0,0.1,0.0
2010-03-13,19.3,0.4,0.0
2010-03-15,1.3,14.4,6.4
2010-03-16,3.4,25.0,17.4
2010-03-17,10.6,37.9,34.1
2010-03-18,0.4,10.1,2.9
2010-03-19,15.6,1.6,0.0
2010-03-20,25.3,164.0,137.7
2010-03-21,0.0,1.4,0.0
2010-03-22,0.0,6.1,1.0
2010-03-23,63.6,11.9,5.4
2010-03-24,52.6,14.6,7.9
2010-03-25,10.0,4.0,0.0
2010-03-26,0.0,16.2,9.4
2010-03-28,0.2,18.5,11.5
2010-03-29,4.4,11.6,5.2
2010-03-30,12.7,67.4,80.9
2010-03-31,0.0,3.1,0.0
2010-04-01,2.0,4.9,1.1
2010-04-02,14.9,7.2,2.7
2010-04-03,0.0,2.7,0.0
2010-04-04,1.9,15.8,9.6
2010-04-05,0.0,0.5,0.0
2010-04-08,3.7,17.8,11.3
2010-04-09,2.8,5.0,1.2
2010-04-10,0.0,1.6,0.0
2010-04-11,5.1,16.7,14.3
2010-04-12,0.0,0.1,0.0
2010-04-13,0.0,0.2,0.0
2010-04-14,0.0,2.6,1.0
2010-04-15,89.2,123.5,76.9
2010-04-16,0.0,3.0,1.0
2010-04-17,27.8,9.3,5.6
2010-04-18,0.0,2.6,1.0
2010-04-19,11.3,0.7,0.0
2010-04-20,0.0,9.7,6.0
2010-04-21,8.9,9.0,8.2
2010-04-22,13.8,7.2,6.3
2010-04-23,6.7,26.2,24.2
2010-04-24,0.0,15.4,12.9
2010-04-25,0.0,2.5,2.0
2010-04-26,1.0,2.2,1.7
2010-04-27,18.0,87.3,61.0
2010-04-28,0.0,1.0,0.0
2010-04-29,2.1,3.3,2.7
2010-04-30,0.3,0.8,0.0
2010-05-01,0.0,0.0,0.0
2010-05-02,4.5,21.3,24.4
2010-05-03,0.9,9.1,8.1
2010-05-04,5.0,18.0,18.1
2010-05-06,0.0,0.7,0.0
2010-05-07,0.0,2.5,1.0
2010-05-08,0.0,2.2,0.0
2010-05-09,1.2,9.5,8.0
2010-05-10,0.0,1.6,0.0
2010-05-11,14.3,3.6,1.9
2010-05-12,0.0,3.5,1.8
2010-05-13,0.0,11.6,10.6
2010-05-14,10.6,122.7,84.0
2010-05-15,0.0,3.8,2.1
2010-05-16,66.8,123.0,86.5
2010-05-17,0.0,2.3,1.0
2010-05-18,0.0,0.3,0.0
2010-05-19,31.0,15.4,11.7
2010-05-20,3.4,5.8,5.2
2010-05-21,41.0,0.6,0.0
2010-05-22,35.5,41.3,52.6
2010-05-23,0.0,3.0,2.7
2010-05-24,0.5,4.5,4.8
2010-05-25,0.0,0.6,0.0
2010-05-26,39.1,6.5,5.7
2010-05-27,3.0,39.5,47.4
2010-05-28,0.0,0.2,0.0
2010-05-29,0.0,0.0,0.0
2010-05-30,4.4,5.6,5.4
