wmo,product,dry,drizzle,light,heavy
96001,IMERG-L,0.5223,0.3453,0.1114,0.021
96001,LSEQM+DL,0.7187,0.1671,0.0723,0.0419
96009,IMERG-L,0.5397,0.2302,0.1715,0.0587
96009,LSEQM+DL,0.622,0.213,0.1215,0.0435
96011,IMERG-L,0.6208,0.2791,0.0881,0.012
96011,LSEQM+DL,0.7055,0.1987,0.0789,0.0169
96013,IMERG-L,0.5812,0.2382,0.1426,0.0379
96013,LSEQM+DL,0.6631,0.1821,0.1047,0.0501
96015,IMERG-L,0.4788,0.2657,0.1901,0.0655
96015,LSEQM+DL,0.7516,0.0778,0.0929,0.0778
96017,IMERG-L,0.5533,0.2319,0.1674,0.0474
96017,LSEQM+DL,0.6081,0.1793,0.1437,0.0689
96031,IMERG-L,0.3209,0.3242,0.2598,0.095
96031,LSEQM+DL,0.7105,0.101,0.0998,0.0887
96033,IMERG-L,0.3727,0.255,0.2455,0.1268
96033,LSEQM+DL,0.6715,0.1167,0.1182,0.0936
96037,IMERG-L,0.3807,0.3086,0.2347,0.076
96037,LSEQM+DL,0.7275,0.1036,0.0938,0.0751
96039,IMERG-L,0.3882,0.2991,0.2375,0.0752
96039,LSEQM+DL,0.4474,0.2659,0.2195,0.0672
96041,IMERG-L,0.172,0.4557,0.3101,0.0623
96041,LSEQM+DL,0.7563,0.1049,0.0765,0.0623
96043,IMERG-L,0.3864,0.3409,0.25,0.0227
96043,LSEQM+DL,0.5057,0.2216,0.1932,0.0795
96071,IMERG-L,0.4865,0.2292,0.2104,0.0738
96071,LSEQM+DL,0.5241,0.1597,0.1655,0.1506
96073,IMERG-L,0.4074,0.2411,0.2446,0.1069
96073,LSEQM+DL,0.5688,0.1468,0.1551,0.1293
96075,IMERG-L,0.3839,0.3005,0.2412,0.0744
96075,LSEQM+DL,0.6567,0.1539,0.1349,0.0545
96077,IMERG-L,0.2292,0.2569,0.375,0.1389
96077,LSEQM+DL,0.5104,0.1458,0.2396,0.1042
96087,IMERG-L,0.592,0.2109,0.158,0.0391
96087,LSEQM+DL,0.5944,0.1913,0.1687,0.0455
96089,IMERG-L,0.3277,0.4391,0.188,0.0452
96089,LSEQM+DL,0.4832,0.3151,0.1481,0.0536
96091,IMERG-L,0.3606,0.4266,0.1839,0.029
96091,LSEQM+DL,0.7057,0.1669,0.0839,0.0436
96107,IMERG-L,0.3803,0.2926,0.2181,0.109
96107,LSEQM+DL,0.6197,0.1197,0.1356,0.125
96109,IMERG-L,0.2771,0.4048,0.2303,0.0878
96109,LSEQM+DL,0.6585,0.1335,0.1128,0.0952
96145,IMERG-L,0.4663,0.4247,0.0951,0.0139
96145,LSEQM+DL,0.8685,0.0609,0.0324,0.0382
96147,IMERG-L,0.3115,0.3706,0.2492,0.0687
96147,LSEQM+DL,0.7861,0.0906,0.061,0.0623
96161,IMERG-L,0.4505,0.2888,0.1918,0.0689
96161,LSEQM+DL,0.7325,0.087,0.086,0.0944
96163,IMERG-L,0.4263,0.2443,0.2245,0.1049
96163,LSEQM+DL,0.6832,0.0908,0.0969,0.129
96165,IMERG-L,0.3634,0.3227,0.2423,0.0716
96165,LSEQM+DL,0.6286,0.1309,0.1211,0.1194
96167,IMERG-L,0.4033,0.2692,0.2301,0.0974
96167,LSEQM+DL,0.6458,0.1036,0.127,0.1236
96171,IMERG-L,0.5452,0.2666,0.1515,0.0367
96171,LSEQM+DL,0.6995,0.1669,0.0927,0.0409
96179,IMERG-L,0.3612,0.4317,0.181,0.0262
96179,LSEQM+DL,0.705,0.1796,0.0812,0.0342
96191,IMERG-L,0.4432,0.2572,0.2143,0.0853
96191,LSEQM+DL,0.6482,0.141,0.1109,0.0999
96195,IMERG-L,0.5015,0.2926,0.1803,0.0256
96195,LSEQM+DL,0.7636,0.1203,0.0785,0.0376
96207,IMERG-L,0.3109,0.4111,0.2346,0.0434
96207,LSEQM+DL,0.6316,0.197,0.1168,0.0546
96221,IMERG-L,0.6486,0.2002,0.1247,0.0265
96221,LSEQM+DL,0.8059,0.1003,0.064,0.0299
96223,IMERG-L,0.5316,0.2003,0.1845,0.0837
96223,LSEQM+DL,0.7003,0.1033,0.1062,0.0901
96237,IMERG-L,0.5592,0.2447,0.161,0.035
96237,LSEQM+DL,0.7074,0.1565,0.0944,0.0417
96239,IMERG-L,0.5495,0.2141,0.1778,0.0586
96239,LSEQM+DL,0.5919,0.2081,0.1374,0.0626
96247,IMERG-L,0.5577,0.2382,0.17,0.0341
96247,LSEQM+DL,0.7576,0.1023,0.0987,0.0413
96249,IMERG-L,0.5743,0.1914,0.1731,0.0612
96249,LSEQM+DL,0.7446,0.0907,0.0963,0.0684
96253,IMERG-L,0.5206,0.2191,0.1846,0.0757
96253,LSEQM+DL,0.7568,0.0737,0.0838,0.0858
96255,IMERG-L,0.4951,0.2223,0.2032,0.0794
96255,LSEQM+DL,0.7365,0.0832,0.0877,0.0926
96257,IMERG-L,0.4437,0.2532,0.2269,0.0762
96257,LSEQM+DL,0.6806,0.1007,0.1125,0.1062
96291,IMERG-L,0.6282,0.1743,0.1454,0.0522
96291,LSEQM+DL,0.7638,0.0963,0.0849,0.055
96293,IMERG-L,0.5948,0.2293,0.1465,0.0295
96293,LSEQM+DL,0.7126,0.1633,0.0928,0.0312
96295,IMERG-L,0.6339,0.1822,0.1457,0.0382
96295,LSEQM+DL,0.7726,0.1069,0.0771,0.0435
96297,IMERG-L,0.5705,0.2069,0.1536,0.069
96297,LSEQM+DL,0.7377,0.1202,0.0878,0.0543
96503,IMERG-L,0.4372,0.3021,0.2055,0.0552
96503,LSEQM+DL,0.5229,0.2553,0.169,0.0527
96505,IMERG-L,0.5012,0.2651,0.1833,0.0504
96505,LSEQM+DL,0.5747,0.2384,0.137,0.0498
96509,IMERG-L,0.3808,0.3513,0.2132,0.0547
96509,LSEQM+DL,0.4944,0.2874,0.175,0.0431
96525,IMERG-L,0.3759,0.2592,0.2727,0.0922
96525,LSEQM+DL,0.4214,0.2738,0.2089,0.0958
96529,IMERG-L,0.4801,0.2709,0.192,0.057
96529,LSEQM+DL,0.5332,0.26,0.1468,0.0601
96535,IMERG-L,0.4799,0.2797,0.1936,0.0467
96535,LSEQM+DL,0.685,0.1707,0.0994,0.0449
96557,IMERG-L,0.4341,0.2121,0.2233,0.1305
96557,LSEQM+DL,0.5103,0.1996,0.1749,0.1152
96559,IMERG-L,0.5103,0.2456,0.1681,0.076
96559,LSEQM+DL,0.5852,0.2212,0.1283,0.0652
96565,IMERG-L,0.4441,0.2444,0.2117,0.0998
96565,LSEQM+DL,0.6639,0.1282,0.1146,0.0933
96581,IMERG-L,0.5664,0.2228,0.1611,0.0497
96581,LSEQM+DL,0.726,0.126,0.0967,0.0513
96583,IMERG-L,0.4574,0.2229,0.2188,0.1009
96583,LSEQM+DL,0.5947,0.1597,0.1468,0.0988
96585,IMERG-L,0.3466,0.3541,0.234,0.0653
96585,LSEQM+DL,0.6855,0.1324,0.1149,0.0671
96595,IMERG-L,0.3806,0.2388,0.2103,0.1703
96595,LSEQM+DL,0.4812,0.1988,0.1836,0.1364
96607,IMERG-L,0.5504,0.2237,0.1852,0.0408
96607,LSEQM+DL,0.6793,0.1551,0.1204,0.0452
96615,IMERG-L,0.5155,0.309,0.1387,0.0368
96615,LSEQM+DL,0.8367,0.0806,0.0508,0.0319
96633,IMERG-L,0.4349,0.2254,0.2259,0.1138
96633,LSEQM+DL,0.5818,0.1677,0.1521,0.0985
96645,IMERG-L,0.5835,0.1935,0.1598,0.0632
96645,LSEQM+DL,0.7209,0.101,0.1103,0.0678
96651,IMERG-L,0.639,0.1988,0.1263,0.0359
96651,LSEQM+DL,0.6618,0.1789,0.1263,0.0331
96653,IMERG-L,0.4548,0.2582,0.2022,0.0849
96653,LSEQM+DL,0.4826,0.2321,0.1917,0.0936
96655,IMERG-L,0.5694,0.2307,0.1439,0.0561
96655,LSEQM+DL,0.595,0.1971,0.1657,0.0423
96685,IMERG-L,0.4631,0.2285,0.2346,0.0738
96685,LSEQM+DL,0.6271,0.1341,0.1421,0.0967
96687,IMERG-L,0.4652,0.217,0.216,0.1018
96687,LSEQM+DL,0.5805,0.1506,0.1454,0.1236
96695,IMERG-L,0.5292,0.262,0.1706,0.0382
96695,LSEQM+DL,0.731,0.1397,0.0948,0.0345
96733,IMERG-L,0.5459,0.1884,0.1855,0.0802
96733,LSEQM+DL,0.5989,0.189,0.1625,0.0495
96735,IMERG-L,0.5861,0.2051,0.158,0.0508
96735,LSEQM+DL,0.6342,0.1949,0.14,0.0309
96737,IMERG-L,0.5743,0.1703,0.1832,0.0722
96737,LSEQM+DL,0.6166,0.2007,0.1393,0.0433
96739,IMERG-L,0.6306,0.2105,0.1296,0.0294
96739,LSEQM+DL,0.7169,0.1781,0.0901,0.0148
96741,IMERG-L,0.581,0.2363,0.1483,0.0344
96741,LSEQM+DL,0.6279,0.2087,0.1418,0.0217
96745,IMERG-L,0.6156,0.2231,0.1285,0.0328
96745,LSEQM+DL,0.661,0.1969,0.1226,0.0195
96747,IMERG-L,0.5613,0.246,0.1716,0.0211
96747,LSEQM+DL,0.6264,0.2282,0.1327,0.0127
96749,IMERG-L,0.5443,0.201,0.1903,0.0643
96749,LSEQM+DL,0.5963,0.1911,0.1751,0.0375
96751,IMERG-L,0.5832,0.1763,0.1753,0.0652
96751,LSEQM+DL,0.6163,0.1823,0.1548,0.0466
96753,IMERG-L,0.4928,0.2081,0.2033,0.0958
96753,LSEQM+DL,0.5716,0.1937,0.168,0.0666
96783,IMERG-L,0.5694,0.2131,0.1594,0.0581
96783,LSEQM+DL,0.5981,0.1984,0.1566,0.0469
96791,IMERG-L,0.6696,0.137,0.1333,0.06
96791,LSEQM+DL,0.6943,0.1407,0.1161,0.0489
96793,IMERG-L,0.6435,0.1441,0.1355,0.0769
96793,LSEQM+DL,0.6789,0.1306,0.1294,0.0611
96797,IMERG-L,0.6347,0.1838,0.1447,0.0368
96797,LSEQM+DL,0.6715,0.191,0.1154,0.0221
96805,IMERG-L,0.6664,0.1647,0.0968,0.072
96805,LSEQM+DL,0.6664,0.1493,0.1253,0.0589
96807,IMERG-L,0.6632,0.1,0.1816,0.0553
96807,LSEQM+DL,0.6737,0.1105,0.1868,0.0289
96835,IMERG-L,0.5921,0.1421,0.1841,0.0817
96835,LSEQM+DL,0.6738,0.1311,0.1348,0.0604
96837,IMERG-L,0.6143,0.1424,0.1637,0.0796
96837,LSEQM+DL,0.7043,0.1279,0.1059,0.062
96839,IMERG-L,0.6479,0.1533,0.1489,0.05
96839,LSEQM+DL,0.7395,0.1263,0.1004,0.0338
96851,IMERG-L,0.7887,0.0879,0.0879,0.0354
96851,LSEQM+DL,0.7874,0.063,0.1234,0.0262
96855,IMERG-L,0.7655,0.1182,0.0864,0.0299
96855,LSEQM+DL,0.7631,0.076,0.1352,0.0257
96925,IMERG-L,0.3611,0.4428,0.1797,0.0164
96925,LSEQM+DL,0.8314,0.0668,0.0342,0.0248
