wmo,name,region,lat,product,threshold,ratio,n_gauge
96001,Maimun Saleh,Sumatra,5.877,IMERG-L,1,1.326,1609
96001,Maimun Saleh,Sumatra,5.877,IMERG-L,5,0.958,1012
96001,Maimun Saleh,Sumatra,5.877,IMERG-L,10,0.882,680
96001,Maimun Saleh,Sumatra,5.877,IMERG-L,20,0.763,384
96001,Maimun Saleh,Sumatra,5.877,IMERG-L,50,0.603,78
96001,Maimun Saleh,Sumatra,5.877,IMERG-L,100,0.667,12
96001,Maimun Saleh,Sumatra,5.877,LSEQM+DL,1,0.961,1609
96001,Maimun Saleh,Sumatra,5.877,LSEQM+DL,5,0.875,1012
96001,Maimun Saleh,Sumatra,5.877,LSEQM+DL,10,0.954,680
96001,Maimun Saleh,Sumatra,5.877,LSEQM+DL,20,1.112,384
96001,Maimun Saleh,Sumatra,5.877,LSEQM+DL,50,1.885,78
96001,Maimun Saleh,Sumatra,5.877,LSEQM+DL,100,1.167,12
96009,Malikussaleh,Sumatra,5.229,IMERG-L,1,1.495,2220
96009,Malikussaleh,Sumatra,5.229,IMERG-L,5,1.476,1260
96009,Malikussaleh,Sumatra,5.229,IMERG-L,10,1.362,846
96009,Malikussaleh,Sumatra,5.229,IMERG-L,20,1.244,451
96009,Malikussaleh,Sumatra,5.229,IMERG-L,50,1.0,112
96009,Malikussaleh,Sumatra,5.229,IMERG-L,100,1.615,13
96009,Malikussaleh,Sumatra,5.229,LSEQM+DL,1,1.282,2220
96009,Malikussaleh,Sumatra,5.229,LSEQM+DL,5,1.122,1260
96009,Malikussaleh,Sumatra,5.229,LSEQM+DL,10,0.95,846
96009,Malikussaleh,Sumatra,5.229,LSEQM+DL,20,0.867,451
96009,Malikussaleh,Sumatra,5.229,LSEQM+DL,50,0.866,112
96009,Malikussaleh,Sumatra,5.229,LSEQM+DL,100,1.231,13
96011,Sultan Iskandar Muda,Sumatra,5.522,IMERG-L,1,1.301,2459
96011,Sultan Iskandar Muda,Sumatra,5.522,IMERG-L,5,1.065,1499
96011,Sultan Iskandar Muda,Sumatra,5.522,IMERG-L,10,0.929,1009
96011,Sultan Iskandar Muda,Sumatra,5.522,IMERG-L,20,0.685,574
96011,Sultan Iskandar Muda,Sumatra,5.522,IMERG-L,50,0.349,169
96011,Sultan Iskandar Muda,Sumatra,5.522,IMERG-L,100,0.107,28
96011,Sultan Iskandar Muda,Sumatra,5.522,LSEQM+DL,1,1.136,2459
96011,Sultan Iskandar Muda,Sumatra,5.522,LSEQM+DL,5,1.049,1499
96011,Sultan Iskandar Muda,Sumatra,5.522,LSEQM+DL,10,1.01,1009
96011,Sultan Iskandar Muda,Sumatra,5.522,LSEQM+DL,20,0.902,574
96011,Sultan Iskandar Muda,Sumatra,5.522,LSEQM+DL,50,0.633,169
96011,Sultan Iskandar Muda,Sumatra,5.522,LSEQM+DL,100,0.464,28
96013,Geofisika Aceh Besar,Sumatra,5.496,IMERG-L,1,1.216,593
96013,Geofisika Aceh Besar,Sumatra,5.496,IMERG-L,5,1.111,378
96013,Geofisika Aceh Besar,Sumatra,5.496,IMERG-L,10,0.958,264
96013,Geofisika Aceh Besar,Sumatra,5.496,IMERG-L,20,0.838,142
96013,Geofisika Aceh Besar,Sumatra,5.496,IMERG-L,50,0.657,35
96013,Geofisika Aceh Besar,Sumatra,5.496,IMERG-L,100,0.2,5
96013,Geofisika Aceh Besar,Sumatra,5.496,LSEQM+DL,1,1.051,593
96013,Geofisika Aceh Besar,Sumatra,5.496,LSEQM+DL,5,0.989,378
96013,Geofisika Aceh Besar,Sumatra,5.496,LSEQM+DL,10,0.951,264
96013,Geofisika Aceh Besar,Sumatra,5.496,LSEQM+DL,20,1.007,142
96013,Geofisika Aceh Besar,Sumatra,5.496,LSEQM+DL,50,1.229,35
96013,Geofisika Aceh Besar,Sumatra,5.496,LSEQM+DL,100,1.8,5
96015,Cut Nyak Dhien Nagan Raya,Sumatra,4.049,IMERG-L,1,1.169,2177
96015,Cut Nyak Dhien Nagan Raya,Sumatra,4.049,IMERG-L,5,1.109,1509
96015,Cut Nyak Dhien Nagan Raya,Sumatra,4.049,IMERG-L,10,1.037,1117
96015,Cut Nyak Dhien Nagan Raya,Sumatra,4.049,IMERG-L,20,0.83,731
96015,Cut Nyak Dhien Nagan Raya,Sumatra,4.049,IMERG-L,50,0.483,269
96015,Cut Nyak Dhien Nagan Raya,Sumatra,4.049,IMERG-L,100,0.237,59
96015,Cut Nyak Dhien Nagan Raya,Sumatra,4.049,LSEQM+DL,1,0.756,2177
96015,Cut Nyak Dhien Nagan Raya,Sumatra,4.049,LSEQM+DL,5,0.826,1509
96015,Cut Nyak Dhien Nagan Raya,Sumatra,4.049,LSEQM+DL,10,0.896,1117
96015,Cut Nyak Dhien Nagan Raya,Sumatra,4.049,LSEQM+DL,20,0.938,731
96015,Cut Nyak Dhien Nagan Raya,Sumatra,4.049,LSEQM+DL,50,1.297,269
96015,Cut Nyak Dhien Nagan Raya,Sumatra,4.049,LSEQM+DL,100,1.746,59
96017,Aceh Besar,Sumatra,5.404,IMERG-L,1,0.916,2802
96017,Aceh Besar,Sumatra,5.404,IMERG-L,5,0.837,1698
96017,Aceh Besar,Sumatra,5.404,IMERG-L,10,0.772,1099
96017,Aceh Besar,Sumatra,5.404,IMERG-L,20,0.668,564
96017,Aceh Besar,Sumatra,5.404,IMERG-L,50,0.379,116
96017,Aceh Besar,Sumatra,5.404,IMERG-L,100,0.1,10
96017,Aceh Besar,Sumatra,5.404,LSEQM+DL,1,0.838,2802
96017,Aceh Besar,Sumatra,5.404,LSEQM+DL,5,0.824,1698
96017,Aceh Besar,Sumatra,5.404,LSEQM+DL,10,0.813,1099
96017,Aceh Besar,Sumatra,5.404,LSEQM+DL,20,0.817,564
96017,Aceh Besar,Sumatra,5.404,LSEQM+DL,50,0.845,116
96017,Aceh Besar,Sumatra,5.404,LSEQM+DL,100,1.3,10
96031,Deli Serdang,Sumatra,3.621,IMERG-L,1,1.652,2945
96031,Deli Serdang,Sumatra,3.621,IMERG-L,5,1.647,1774
96031,Deli Serdang,Sumatra,3.621,IMERG-L,10,1.526,1261
96031,Deli Serdang,Sumatra,3.621,IMERG-L,20,1.236,758
96031,Deli Serdang,Sumatra,3.621,IMERG-L,50,0.894,188
96031,Deli Serdang,Sumatra,3.621,IMERG-L,100,0.739,23
96031,Deli Serdang,Sumatra,3.621,LSEQM+DL,1,0.842,2945
96031,Deli Serdang,Sumatra,3.621,LSEQM+DL,5,0.954,1774
96031,Deli Serdang,Sumatra,3.621,LSEQM+DL,10,0.964,1261
96031,Deli Serdang,Sumatra,3.621,LSEQM+DL,20,1.087,758
96031,Deli Serdang,Sumatra,3.621,LSEQM+DL,50,1.229,188
96031,Deli Serdang,Sumatra,3.621,LSEQM+DL,100,0.174,23
96033,Belawan,Sumatra,3.788,IMERG-L,1,1.654,1473
96033,Belawan,Sumatra,3.788,IMERG-L,5,1.644,936
96033,Belawan,Sumatra,3.788,IMERG-L,10,1.568,665
96033,Belawan,Sumatra,3.788,IMERG-L,20,1.391,394
96033,Belawan,Sumatra,3.788,IMERG-L,50,0.833,108
96033,Belawan,Sumatra,3.788,IMERG-L,100,0.333,12
96033,Belawan,Sumatra,3.788,LSEQM+DL,1,0.948,1473
96033,Belawan,Sumatra,3.788,LSEQM+DL,5,0.991,936
96033,Belawan,Sumatra,3.788,LSEQM+DL,10,0.973,665
96033,Belawan,Sumatra,3.788,LSEQM+DL,20,1.051,394
96033,Belawan,Sumatra,3.788,LSEQM+DL,50,0.954,108
96033,Belawan,Sumatra,3.788,LSEQM+DL,100,0.083,12
