date,wmo,gauge,imergl,lseqmdl
2016-01-01,96001,0.0,2.9,1.3
2016-01-01,96013,0.0,0.2,0.0
2016-01-01,96015,0.0,1.4,0.0
2016-01-01,96031,22.8,1.9,0.0
2016-01-01,96033,0.0,0.9,0.0
2016-01-01,96041,4.5,1.4,0.0
2016-01-01,96071,4.0,6.0,2.9
2016-01-01,96073,0.0,2.0,0.0
2016-01-01,96075,19.6,4.1,0.0
2016-01-01,96089,21.2,52.6,141.7
2016-01-01,96091,28.9,31.8,32.8
2016-01-01,96109,35.4,20.3,27.8
2016-01-01,96145,2.0,2.1,0.0
2016-01-01,96161,0.0,10.0,6.1
2016-01-01,96171,10.7,7.1,3.9
2016-01-01,96179,5.7,81.3,89.5
2016-01-01,96191,1.0,9.3,5.8
2016-01-01,96195,1.0,5.6,1.6
2016-01-01,96207,0.0,27.1,29.0
2016-01-01,96223,3.2,9.3,4.7
2016-01-01,96237,5.7,18.6,15.2
2016-01-01,96247,14.2,16.5,14.1
2016-01-01,96253,10.3,3.0,0.0
2016-01-01,96255,0.8,3.0,0.0
2016-01-01,96293,0.0,2.7,0.0
2016-01-01,96503,0.0,0.0,0.0
2016-01-01,96509,0.0,2.9,1.1
2016-01-01,96525,4.4,0.0,0.0
2016-01-01,96529,3.0,0.1,0.0
2016-01-01,96535,7.8,83.9,101.0
2016-01-01,96559,10.4,4.7,3.3
2016-01-01,96565,4.0,27.7,32.7
2016-01-01,96581,6.5,21.5,19.7
2016-01-01,96583,8.2,48.4,51.9
2016-01-01,96585,1.0,29.7,35.5
2016-01-01,96595,1.5,11.1,8.5
2016-01-01,96607,0.0,0.0,0.0
2016-01-01,96615,15.1,17.2,19.2
2016-01-01,96633,0.0,0.3,0.0
2016-01-01,96653,7.4,2.0,1.7
2016-01-01,96685,48.3,6.8,2.8
2016-01-01,96687,10.3,9.0,7.3
2016-01-01,96695,19.0,3.8,0.0
2016-01-01,96735,1.5,11.9,7.6
2016-01-01,96737,0.5,13.1,7.8
2016-01-01,96741,0.9,1.6,0.0
2016-01-01,96745,26.6,1.6,0.0
2016-01-01,96747,0.8,5.2,2.6
2016-01-01,96749,14.3,7.0,4.2
2016-01-01,96751,1.2,21.4,19.0
2016-01-01,96753,0.4,28.6,22.8
2016-01-01,96783,24.8,20.3,17.4
2016-01-01,96791,3.5,2.5,0.0
2016-01-01,96805,0.0,0.0,0.0
2016-01-01,96807,17.8,1.1,0.0
2016-01-01,96855,0.0,0.0,0.0
2016-01-01,96925,17.7,0.3,0.0
2016-01-01,96933,16.4,1.9,0.0
2016-01-01,96935,0.6,0.7,0.0
2016-01-01,96937,19.2,1.9,0.0
2016-01-01,96943,11.8,0.0,0.0
2016-01-01,96945,87.0,0.4,0.0
2016-01-01,96973,12.8,1.8,0.0
2016-01-01,96975,1.4,2.9,2.6
2016-01-01,97008,2.7,2.8,0.0
2016-01-01,97012,0.5,1.4,0.0
2016-01-01,97014,2.4,1.4,0.0
2016-01-01,97028,0.2,0.0,0.0
2016-01-01,97072,0.0,4.5,2.7
2016-01-01,97086,1.3,0.8,0.0
2016-01-01,97096,0.0,0.0,0.0
2016-01-01,97120,0.0,2.0,3.4
2016-01-01,97124,15.6,9.1,14.4
2016-01-01,97126,74.2,0.0,0.0
2016-01-01,97142,47.2,7.2,5.7
2016-01-01,97144,2.3,4.2,0.0
2016-01-01,97180,5.7,3.8,0.0
2016-01-01,97182,7.0,0.1,0.0
2016-01-01,97184,10.0,0.7,0.0
2016-01-01,97230,0.0,0.0,0.0
2016-01-01,97240,7.1,0.0,0.0
2016-01-01,97242,0.0,0.0,0.0
2016-01-01,97260,0.0,0.0,0.0
2016-01-01,97270,3.0,0.0,0.0
2016-01-01,97282,0.0,0.1,0.0
2016-01-01,97310,0.0,0.4,0.0
2016-01-01,97340,0.0,0.0,0.0
2016-01-01,97380,0.0,1.5,0.0
2016-01-01,97430,0.0,0.8,0.0
2016-01-01,97530,89.8,39.6,33.7
2016-01-01,97560,15.6,4.9,0.0
2016-01-01,97600,0.0,0.2,0.0
2016-01-01,97682,2.3,5.3,1.5
2016-01-01,97686,0.1,5.8,2.3
2016-01-01,97690,0.2,0.2,0.0
2016-01-01,97692,10.5,0.4,0.0
2016-01-01,97694,4.1,0.3,0.0
2016-01-01,97698,0.1,0.4,0.0
2016-01-01,97700,3.5,4.3,1.0
2016-01-01,97724,0.0,8.9,3.1
2016-01-01,97726,0.0,0.0,0.0
2016-01-01,97760,6.8,0.0,0.0
2016-01-01,97780,7.4,3.9,0.0
2016-01-01,97790,1.2,0.2,0.0
2016-01-01,97796,1.5,0.1,0.0
2016-01-01,97810,7.5,3.7,0.0
2016-01-01,97876,1.2,3.5,1.0
2016-01-02,96001,0.0,3.9,2.9
2016-01-02,96009,0.0,0.3,0.0
2016-01-02,96013,0.0,1.2,1.3
2016-01-02,96015,6.0,4.0,1.0
2016-01-02,96017,0.0,0.4,0.0
2016-01-02,96033,8.0,7.9,1.9
2016-01-02,96039,0.6,27.4,21.8
2016-01-02,96071,1.1,0.0,0.0
2016-01-02,96073,0.0,0.0,0.0
2016-01-02,96075,0.0,3.3,0.0
2016-01-02,96089,55.2,41.0,98.3
2016-01-02,96091,43.5,92.7,182.4
2016-01-02,96109,39.6,5.6,1.0
2016-01-02,96147,1.6,1.0,0.0
2016-01-02,96165,1.2,3.5,0.0
2016-01-02,96171,27.8,19.1,24.1
2016-01-02,96179,39.7,35.7,46.1
2016-01-02,96191,30.2,4.3,1.0
2016-01-02,96207,11.5,16.4,11.3
2016-01-02,96237,9.5,11.0,7.8
2016-01-02,96247,17.2,31.2,35.0
2016-01-02,96249,10.5,31.0,37.1
2016-01-02,96255,0.7,43.7,73.9
2016-01-02,96257,27.0,27.4,45.0
2016-01-02,96295,3.0,17.5,13.6
2016-01-02,96297,49.0,15.8,9.9
2016-01-02,96509,5.6,4.2,2.1
2016-01-02,96529,0.0,13.9,11.1
2016-01-02,96535,72.7,0.5,0.0
2016-01-02,96559,0.6,37.3,34.2
2016-01-02,96565,10.5,21.3,20.6
2016-01-02,96581,7.8,0.1,0.0
2016-01-02,96583,25.6,2.2,0.0
2016-01-02,96585,9.1,1.8,0.0
2016-01-02,96595,10.5,13.0,9.9
2016-01-02,96607,0.0,0.0,0.0
2016-01-02,96615,24.1,13.0,12.2
2016-01-02,96633,0.0,2.4,0.0
2016-01-02,96645,12.6,2.6,0.0
2016-01-02,96651,46.2,0.0,0.0
2016-01-02,96653,1.3,56.4,59.6
2016-01-02,96655,8.5,4.0,4.3
2016-01-02,96685,0.0,27.9,46.3
2016-01-02,96733,1.6,12.8,8.4
2016-01-02,96737,2.3,4.2,1.5
2016-01-02,96741,0.0,16.1,12.0
2016-01-02,96745,0.0,16.1,12.0
2016-01-02,96747,4.8,16.6,11.7
2016-01-02,96749,6.3,7.7,4.8
2016-01-02,96753,33.4,30.1,26.3
2016-01-02,96783,13.2,29.0,26.2
2016-01-02,96791,23.8,11.5,7.8
2016-01-02,96797,0.0,2.7,1.8
2016-01-02,96805,0.0,0.2,0.0
2016-01-02,96835,0.5,4.9,0.0
2016-01-02,96837,0.8,3.6,0.0
2016-01-02,96839,0.2,4.9,0.0
2016-01-02,96855,7.7,0.0,0.0
2016-01-02,96933,1.6,1.2,0.0
2016-01-02,96937,0.0,1.2,0.0
2016-01-02,96943,3.5,0.1,0.0
2016-01-02,96945,5.0,1.5,0.0
2016-01-02,96949,3.8,0.5,0.0
2016-01-02,96975,16.0,20.3,20.1
2016-01-02,97008,1.0,10.3,9.0
2016-01-02,97012,4.8,2.2,0.0
2016-01-02,97014,1.0,2.2,0.0
2016-01-02,97016,2.5,6.0,4.1
2016-01-02,97048,0.0,1.2,0.0
2016-01-02,97086,4.2,8.1,6.2
2016-01-02,97124,54.4,0.7,1.0
2016-01-02,97126,0.0,0.0,0.0
2016-01-02,97142,0.2,0.7,0.0
2016-01-02,97180,0.6,0.8,0.0
2016-01-02,97186,0.0,0.4,0.0
2016-01-02,97230,0.0,0.0,0.0
2016-01-02,97240,0.4,0.0,0.0
2016-01-02,97260,0.0,0.0,0.0
2016-01-02,97270,9.6,0.0,0.0
2016-01-02,97282,0.0,0.0,0.0
2016-01-02,97284,1.0,0.0,0.0
2016-01-02,97310,0.0,0.6,0.0
2016-01-02,97340,0.2,0.0,0.0
2016-01-02,97380,0.0,0.5,0.0
2016-01-02,97430,0.0,3.1,3.3
2016-01-02,97432,0.0,4.0,1.7
2016-01-02,97530,20.5,11.6,6.4
2016-01-02,97560,0.6,19.6,21.8
2016-01-02,97600,0.0,1.5,0.0
2016-01-02,97682,4.6,20.7,14.8
2016-01-02,97698,0.0,10.5,4.4
2016-01-02,97700,0.0,0.1,0.0
2016-01-02,97724,0.0,2.7,0.0
2016-01-02,97726,0.0,0.0,0.0
2016-01-02,97760,5.9,1.4,0.0
2016-01-02,97810,0.0,1.0,0.0
2016-01-02,97876,1.2,0.1,0.0
2016-01-02,97900,0.0,0.0,0.0
2016-01-02,97980,0.0,0.0,0.0
2016-01-03,96001,6.5,1.5,0.0
2016-01-03,96009,8.0,0.0,0.0
2016-01-03,96031,0.1,2.6,0.0
2016-01-03,96033,0.0,1.2,0.0
