wmo,name,lat,lon,region,completeness,imergl_n,imergl_r,imergl_rmse,imergl_nse,imergl_bias,lseqmdl_n,lseqmdl_r,lseqmdl_rmse,lseqmdl_nse,lseqmdl_bias,correctdry_imergl,wetfreq_imergl,correctdry_lseqmdl,wetfreq_lseqmdl
96001,Maimun Saleh,5.877,95.338,Sumatra,44.6,3422,0.431,14.863,0.013,-0.091,3422,0.422,17.645,-0.391,0.132,0.5223,1.3257,0.7187,0.9615
96009,Malikussaleh,5.229,96.947,Sumatra,76.9,5900,0.182,16.953,-0.775,0.373,5900,0.175,15.933,-0.568,0.038,0.5397,1.4946,0.622,1.2815
96011,Sultan Iskandar Muda,5.522,95.417,Sumatra,74.4,5705,0.434,14.755,0.136,-0.164,5705,0.431,15.593,0.035,-0.071,0.6208,1.3005,0.7055,1.1362
96013,Geofisika Aceh Besar,5.496,95.296,Sumatra,16.3,1252,0.339,16.295,-0.066,-0.069,1252,0.323,18.862,-0.429,0.054,0.5812,1.2159,0.6631,1.0506
96015,Cut Nyak Dhien Nagan Raya,4.049,96.248,Sumatra,46.5,3566,0.331,25.186,-0.026,-0.196,3566,0.303,32.172,-0.673,0.055,0.4788,1.1695,0.7516,0.7561
96017,Aceh Besar,5.404,95.464,Sumatra,54.1,4152,0.155,16.824,-0.339,-0.253,4152,0.156,18.528,-0.624,-0.157,0.5533,0.9165,0.6081,0.838
96031,Deli Serdang,3.621,98.715,Sumatra,81.9,6282,0.148,20.086,-0.622,0.367,6282,0.136,20.686,-0.721,0.016,0.3209,1.6523,0.7105,0.8421
96033,Belawan,3.788,98.715,Sumatra,45.1,3461,0.085,20.223,-0.794,0.397,3461,0.076,20.158,-0.782,-0.013,0.3727,1.6544,0.6715,0.9477
96037,Geofisika Deli Serdang,3.501,98.56,Sumatra,76.6,5878,0.18,21.795,-0.3,-0.082,5878,0.156,22.792,-0.421,-0.301,0.3807,1.2547,0.7275,0.7226
96039,Geofisika Aceh Selatan,3.173,97.286,Sumatra,65.8,5047,0.19,19.014,-0.898,0.305,5047,0.181,17.122,-0.539,0.116,0.3882,1.4364,0.4474,1.3331
96041,Balai Besar dan Geofisika Wi,3.54,98.64,Sumatra,50.7,3887,0.244,19.676,-0.185,0.02,3887,0.232,21.66,-0.436,-0.205,0.172,1.449,0.7563,0.7029
96043,Silangit,2.261,98.994,Sumatra,6.4,493,0.152,13.955,-0.599,0.149,493,0.162,23.931,-3.703,0.889,0.3864,1.2208,0.5057,1.0284
96071,Aek Godang,1.55,99.45,Sumatra,51.1,3920,0.098,18.127,-0.526,0.081,3920,0.078,29.865,-3.142,1.041,0.4865,1.2852,0.5241,1.1943
96073,FL Tobing,1.55,98.88,Sumatra,95.0,7287,0.14,28.242,-0.231,-0.217,7287,0.141,34.295,-0.815,0.022,0.4074,1.2061,0.5688,0.9451
96075,Binaka,1.165,97.704,Sumatra,89.3,6851,0.365,17.622,-0.46,0.403,6851,0.344,17.824,-0.494,0.113,0.3839,1.2369,0.6567,0.9238
96077,Geofisika Gunungsitoli,1.3,97.58,Sumatra,23.6,1808,0.176,21.63,-0.463,0.121,1808,0.167,22.846,-0.633,-0.097,0.2292,1.0743,0.5104,0.8099
96087,Hang Nadim,1.117,104.117,Sumatra,77.5,5941,0.541,16.708,0.138,0.136,5941,0.452,23.648,-0.727,0.314,0.592,1.2979,0.5944,1.2866
96089,Raja Haji Abdullah,1.03,103.38,Sumatra,35.2,2698,0.415,17.805,0.075,-0.096,2698,0.331,24.595,-0.765,0.085,0.3277,1.2503,0.4832,1.0962
96091,Raja Haji Fisabilillah,0.923,104.529,Sumatra,86.0,6597,0.487,18.793,0.138,-0.006,6597,0.468,23.502,-0.348,0.087,0.3606,1.6009,0.7057,1.061
96107,Kampar,0.407,101.217,Sumatra,12.5,958,0.064,22.213,-0.362,-0.203,958,0.052,25.394,-0.781,-0.188,0.3803,1.2027,0.6197,0.8419
96109,Sultan Syarif Kasim II,0.459,101.447,Sumatra,48.7,3734,0.184,20.753,-0.409,0.102,3734,0.171,23.588,-0.82,0.094,0.2771,1.6068,0.6585,0.9709
96145,Tarempa,3.2,106.25,Sumatra,87.7,6728,0.477,15.461,0.173,-0.16,6728,0.45,21.938,-0.666,0.217,0.4663,1.5603,0.8685,0.7157
96147,Ranai,3.912,108.39,Sumatra,42.9,3289,0.222,19.998,-0.48,0.19,3289,0.199,19.577,-0.419,-0.255,0.3115,1.5283,0.7861,0.6461
96161,Teluk Bayur,-0.996,100.372,Sumatra,87.5,6709,0.281,28.49,-0.001,-0.281,6709,0.261,35.678,-0.57,0.045,0.4505,1.3063,0.7325,0.833
